popName	popUId	sampleUId	2N	locusSymbol	siteName	alleleSymbol	entryDate	frequency
Ami	PO000002C	SA000289T	38	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.0
Ami	PO000002C	SA000289T	38	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.26
Ami	PO000002C	SA000289T	38	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.34
Ami	PO000002C	SA000289T	38	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.0
Ami	PO000002C	SA000289T	38	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.0
Ami	PO000002C	SA000289T	38	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.0
Ami	PO000002C	SA000289T	38	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.0
Ami	PO000002C	SA000289T	38	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.08
Ami	PO000002C	SA000289T	38	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.32
Atayal	PO000021D	SA000288S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.0
Atayal	PO000021D	SA000288S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.07
Atayal	PO000021D	SA000288S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.08
Atayal	PO000021D	SA000288S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.0
Atayal	PO000021D	SA000288S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.2
Atayal	PO000021D	SA000288S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.15
Atayal	PO000021D	SA000288S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.03
Atayal	PO000021D	SA000288S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.07
Atayal	PO000021D	SA000288S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.4
Batak	PO000196Q	SA000286Q	52	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.1
Batak	PO000196Q	SA000286Q	52	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.29
Batak	PO000196Q	SA000286Q	52	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.37
Batak	PO000196Q	SA000286Q	52	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.04
Batak	PO000196Q	SA000286Q	52	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.12
Batak	PO000196Q	SA000286Q	52	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.0
Batak	PO000196Q	SA000286Q	52	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.0
Batak	PO000196Q	SA000286Q	52	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.0
Batak	PO000196Q	SA000286Q	52	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.1
Cambodians, Khmer	PO000022E	SA000281L	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.0
Cambodians, Khmer	PO000022E	SA000281L	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.0
Cambodians, Khmer	PO000022E	SA000281L	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.02
Cambodians, Khmer	PO000022E	SA000281L	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.05
Cambodians, Khmer	PO000022E	SA000281L	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.35
Cambodians, Khmer	PO000022E	SA000281L	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.03
Cambodians, Khmer	PO000022E	SA000281L	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.4
Cambodians, Khmer	PO000022E	SA000281L	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.03
Cambodians, Khmer	PO000022E	SA000281L	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.12
Filipino	PO000197R	SA000287R	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.0
Filipino	PO000197R	SA000287R	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.03
Filipino	PO000197R	SA000287R	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.1
Filipino	PO000197R	SA000287R	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.0
Filipino	PO000197R	SA000287R	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.03
Filipino	PO000197R	SA000287R	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.43
Filipino	PO000197R	SA000287R	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.38
Filipino	PO000197R	SA000287R	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.02
Filipino	PO000197R	SA000287R	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.0
Han	PO000009J	SA000278R	56	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.0
Han	PO000009J	SA000278R	56	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.0
Han	PO000009J	SA000278R	56	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.09
Han	PO000009J	SA000278R	56	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.13
Han	PO000009J	SA000278R	56	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.29
Han	PO000009J	SA000278R	56	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.05
Han	PO000009J	SA000278R	56	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.04
Han	PO000009J	SA000278R	56	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.04
Han	PO000009J	SA000278R	56	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.38
Japanese	PO000010B	SA000277Q	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.09
Japanese	PO000010B	SA000277Q	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.12
Japanese	PO000010B	SA000277Q	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.03
Japanese	PO000010B	SA000277Q	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.16
Japanese	PO000010B	SA000277Q	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.0
Japanese	PO000010B	SA000277Q	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.12
Japanese	PO000010B	SA000277Q	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.0
Japanese	PO000010B	SA000277Q	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.03
Japanese	PO000010B	SA000277Q	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.45
Javanese	PO000195P	SA000285P	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.03
Javanese	PO000195P	SA000285P	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.0
Javanese	PO000195P	SA000285P	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.09
Javanese	PO000195P	SA000285P	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.21
Javanese	PO000195P	SA000285P	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.35
Javanese	PO000195P	SA000285P	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.16
Javanese	PO000195P	SA000285P	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.07
Javanese	PO000195P	SA000285P	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.09
Javanese	PO000195P	SA000285P	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.02
Kachari	PO000040E	SA000276P	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.13
Kachari	PO000040E	SA000276P	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.32
Kachari	PO000040E	SA000276P	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.02
Kachari	PO000040E	SA000276P	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.0
Kachari	PO000040E	SA000276P	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.05
Kachari	PO000040E	SA000276P	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.08
Kachari	PO000040E	SA000276P	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.07
Kachari	PO000040E	SA000276P	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.0
Kachari	PO000040E	SA000276P	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.33
Malaysians	PO000094N	SA000284O	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.03
Malaysians	PO000094N	SA000284O	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.0
Malaysians	PO000094N	SA000284O	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.23
Malaysians	PO000094N	SA000284O	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.3
Malaysians	PO000094N	SA000284O	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.03
Malaysians	PO000094N	SA000284O	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.0
Malaysians	PO000094N	SA000284O	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.12
Malaysians	PO000094N	SA000284O	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.28
Malaysians	PO000094N	SA000284O	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.0
Orang Asli	PO000193N	SA000283N	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.28
Orang Asli	PO000193N	SA000283N	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.25
Orang Asli	PO000193N	SA000283N	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.0
Orang Asli	PO000193N	SA000283N	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.0
Orang Asli	PO000193N	SA000283N	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.12
Orang Asli	PO000193N	SA000283N	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.13
Orang Asli	PO000193N	SA000283N	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.0
Orang Asli	PO000193N	SA000283N	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.22
Orang Asli	PO000193N	SA000283N	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.0
Papuan New Guinean	PO000084M	SA000291M	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.29
Papuan New Guinean	PO000084M	SA000291M	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.03
Papuan New Guinean	PO000084M	SA000291M	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.22
Papuan New Guinean	PO000084M	SA000291M	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.07
Papuan New Guinean	PO000084M	SA000291M	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.29
